*************04:42:01*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:18*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:28*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:34*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:40*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:46*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:52*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:42:58*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.1.0.0', 'mask': '255.255.0.0', 'dist': 12, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.3.0.0', 'mask': '255.255.0.0', 'dist': 8, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.2.0.0', 'dist': 8, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '131.4.0.0', 'dist': 13, 'mask': '255.255.0.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
{'dest': '145.8.64.0', 'mask': '255.255.192.0', 'dist': 10, 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}


*************04:43:04*************
{'dest': '130.2.64.0', 'dist': 2, 'mask': '255.255.192.0', 'gateway': '130.2.72.1', 'itf': 'H1-eth0'}
