*************04:42:15*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:42:25*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:42:31*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:42:37*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:42:43*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:42:49*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:42:55*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:01*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:07*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:13*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:19*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:25*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:31*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:37*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:43*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:49*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:43:55*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:44:01*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:44:07*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 6, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 11, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}


*************04:44:13*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:19*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:25*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:31*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:37*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:43*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


*************04:44:49*************
{'dest': '131.1.0.0', 'dist': 10, 'mask': '255.255.0.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.3.0.0', 'dist': 1, 'mask': '255.255.0.0', 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}
{'dest': '131.2.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '145.8.64.0', 'dist': 8, 'mask': '255.255.192.0', 'gateway': '131.1.1.2', 'itf': 'R1-eth1'}
{'dest': '131.4.0.0', 'mask': '255.255.0.0', 'dist': 6, 'gateway': '131.3.1.2', 'itf': 'R1-eth2'}


